Source: (15.00, 1.00, -4.50), Receiver: (0.00, 1.00, -15.00), Reflection: 0, Hit: (15.34, 2.43, -4.95), Time: 0.0045s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (0.00, 1.00, -15.00), Reflection: 0, Hit: (18.56, 0.34, -3.33), Time: 0.0111s, Energy: 0.30
Source: (15.00, 1.00, -4.50), Receiver: (19.00, 1.00, 4.00), Reflection: 0, Hit: (14.49, 0.49, -4.95), Time: 0.0025s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (19.00, 1.00, 4.00), Reflection: 0, Hit: (14.90, 0.27, -4.95), Time: 0.0025s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (11.00, 1.00, -11.00), Reflection: 0, Hit: (14.50, 1.14, -4.63), Time: 0.0016s, Energy: 0.90
Source: (15.00, 1.00, -4.50), Receiver: (11.00, 1.00, -11.00), Reflection: 1, Hit: (14.69, 1.24, -4.95), Time: 0.0027s, Energy: 0.72
Source: (15.00, 1.00, -4.50), Receiver: (4.00, 1.00, 4.00), Reflection: 0, Hit: (14.44, 0.73, -4.95), Time: 0.0022s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (4.00, 1.00, 4.00), Reflection: 1, Hit: (13.79, 0.43, -4.43), Time: 0.0048s, Energy: 0.24
Source: (15.00, 1.00, -4.50), Receiver: (4.00, 1.00, 4.00), Reflection: 0, Hit: (15.26, 0.98, -4.95), Time: 0.0015s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (4.00, 1.00, 4.00), Reflection: 1, Hit: (19.95, 0.60, 3.10), Time: 0.0287s, Energy: 0.64
Source: (15.00, 1.00, -4.50), Receiver: (4.00, 1.00, 4.00), Reflection: 2, Hit: (18.87, 0.51, 4.95), Time: 0.0349s, Energy: 0.51
Source: (15.00, 1.00, -4.50), Receiver: (4.00, 1.00, 4.00), Reflection: 3, Hit: (15.67, 0.25, -0.56), Time: 0.0535s, Energy: 0.31
Source: (15.00, 1.00, -4.50), Receiver: (11.00, 1.00, 4.00), Reflection: 0, Hit: (15.53, 1.24, -4.95), Time: 0.0021s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (11.00, 1.00, 4.00), Reflection: 0, Hit: (15.34, 1.07, -4.95), Time: 0.0017s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (11.00, 1.00, 4.00), Reflection: 1, Hit: (19.95, 2.09, 1.13), Time: 0.0241s, Energy: 0.64
Source: (15.00, 1.00, -4.50), Receiver: (11.00, 1.00, 4.00), Reflection: 2, Hit: (17.65, 2.59, 4.16), Time: 0.0353s, Energy: 0.38
Source: (15.00, 1.00, -4.50), Receiver: (19.00, 1.00, -11.00), Reflection: 0, Hit: (15.60, 0.74, -4.95), Time: 0.0023s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (19.00, 1.00, -11.00), Reflection: 0, Hit: (14.49, 1.42, -4.49), Time: 0.0019s, Energy: 0.90
Source: (15.00, 1.00, -4.50), Receiver: (19.00, 1.00, -11.00), Reflection: 0, Hit: (15.11, 1.51, -4.95), Time: 0.0020s, Energy: 0.80
